2021-04-26 13:28:01,304 | INFO | runner.run:33 | Starting game number 1.
2021-04-26 13:28:01,305 | DEBUG | runner.run_game:39 | Randomly picked arena: island.
2021-04-26 13:28:01,371 | DEBUG | arenas.spawn_menhir:119 | Menhir spawned at Coords(x=39, y=18).
2021-04-26 13:28:01,461 | DEBUG | games._spawn_champions:67 | Champion for IHaveNoIdeaWhatImDoingController spawned at Coords(x=40, y=39) -> Facing.LEFT.
2021-04-26 13:28:01,463 | DEBUG | games._spawn_champions:67 | Champion for Krowa1233ControllerKrowka spawned at Coords(x=60, y=74) -> Facing.RIGHT.
2021-04-26 13:28:01,463 | DEBUG | games._spawn_champions:67 | Champion for BBBotControllerBartek spawned at Coords(x=71, y=43) -> Facing.DOWN.
2021-04-26 13:28:01,464 | DEBUG | games._spawn_champions:67 | Champion for BotElkaZ nami na pewno zdasz spawned at Coords(x=67, y=10) -> Facing.RIGHT.
2021-04-26 13:28:01,464 | DEBUG | games._spawn_champions:67 | Champion for TupTupBot spawned at Coords(x=36, y=51) -> Facing.DOWN.
2021-04-26 13:28:01,465 | DEBUG | games._spawn_champions:67 | Champion for ClaretWolfController spawned at Coords(x=44, y=74) -> Facing.UP.
2021-04-26 13:28:01,503 | DEBUG | games._environment_action:75 | Starting episode 1.
2021-04-26 13:28:01,596 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.ATTACK.
2021-04-26 13:28:01,597 | DEBUG | characters.attack:81 | Champion ClaretWolfController attacked with its knife.
2021-04-26 13:28:01,690 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.TURN_LEFT.
2021-04-26 13:28:01,690 | DEBUG | characters.turn_left:68 | Champion TupTupBot is now facing Facing.RIGHT.
2021-04-26 13:28:01,747 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:28:01,748 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.DOWN.
2021-04-26 13:28:01,789 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:28:01,789 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.LEFT.
2021-04-26 13:28:01,841 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.TURN_LEFT.
2021-04-26 13:28:01,841 | DEBUG | characters.turn_left:68 | Champion Krowa1233ControllerKrowka is now facing Facing.UP.
2021-04-26 13:28:02,025 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:02,026 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=39, y=39).
2021-04-26 13:28:02,074 | DEBUG | games._environment_action:75 | Starting episode 2.
2021-04-26 13:28:02,138 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.TURN_RIGHT.
2021-04-26 13:28:02,139 | DEBUG | characters.turn_right:73 | Champion ClaretWolfController is now facing Facing.RIGHT.
2021-04-26 13:28:02,196 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.STEP_FORWARD.
2021-04-26 13:28:02,197 | DEBUG | arenas.step_forward:108 | Champion TupTupBot entered tile Coords(x=37, y=51).
2021-04-26 13:28:02,330 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:28:02,331 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.LEFT.
2021-04-26 13:28:02,368 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:28:02,368 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.UP.
2021-04-26 13:28:02,407 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.STEP_FORWARD.
2021-04-26 13:28:02,407 | DEBUG | arenas.step_forward:108 | Champion Krowa1233ControllerKrowka entered tile Coords(x=60, y=73).
2021-04-26 13:28:02,570 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:02,570 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=38, y=39).
2021-04-26 13:28:02,601 | DEBUG | games._environment_action:75 | Starting episode 3.
2021-04-26 13:28:02,651 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.STEP_FORWARD.
2021-04-26 13:28:02,651 | DEBUG | arenas.step_forward:108 | Champion ClaretWolfController entered tile Coords(x=45, y=74).
2021-04-26 13:28:02,686 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.STEP_FORWARD.
2021-04-26 13:28:02,686 | DEBUG | arenas.step_forward:108 | Champion TupTupBot entered tile Coords(x=38, y=51).
2021-04-26 13:28:02,744 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:28:02,745 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.UP.
2021-04-26 13:28:02,798 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:28:02,798 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.RIGHT.
2021-04-26 13:28:02,860 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.STEP_FORWARD.
2021-04-26 13:28:02,861 | DEBUG | arenas.step_forward:108 | Champion Krowa1233ControllerKrowka entered tile Coords(x=60, y=72).
2021-04-26 13:28:03,042 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:03,042 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=37, y=39).
2021-04-26 13:28:03,073 | DEBUG | games._environment_action:75 | Starting episode 4.
2021-04-26 13:28:03,110 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.TURN_RIGHT.
2021-04-26 13:28:03,111 | DEBUG | characters.turn_right:73 | Champion ClaretWolfController is now facing Facing.DOWN.
2021-04-26 13:28:03,160 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.STEP_FORWARD.
2021-04-26 13:28:03,160 | DEBUG | arenas.step_forward:108 | Champion TupTupBot entered tile Coords(x=39, y=51).
2021-04-26 13:28:03,192 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:28:03,192 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.RIGHT.
2021-04-26 13:28:03,242 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.ATTACK.
2021-04-26 13:28:03,243 | DEBUG | characters.attack:81 | Champion BBBotControllerBartek attacked with its knife.
2021-04-26 13:28:03,281 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.TURN_RIGHT.
2021-04-26 13:28:03,282 | DEBUG | characters.turn_right:73 | Champion Krowa1233ControllerKrowka is now facing Facing.RIGHT.
2021-04-26 13:28:03,438 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
2021-04-26 13:28:03,438 | DEBUG | arenas.step_forward:108 | Champion IHaveNoIdeaWhatImDoingController entered tile Coords(x=36, y=39).
2021-04-26 13:28:03,469 | DEBUG | games._environment_action:75 | Starting episode 5.
2021-04-26 13:28:03,469 | DEBUG | arenas.increase_mist:125 | Radius of mist-free space decreased to 141.
2021-04-26 13:28:03,518 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.ATTACK.
2021-04-26 13:28:03,519 | DEBUG | characters.attack:81 | Champion ClaretWolfController attacked with its knife.
2021-04-26 13:28:03,555 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.TURN_LEFT.
2021-04-26 13:28:03,555 | DEBUG | characters.turn_left:68 | Champion TupTupBot is now facing Facing.UP.
2021-04-26 13:28:03,591 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:28:03,591 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.DOWN.
2021-04-26 13:28:03,637 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:28:03,638 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.DOWN.
2021-04-26 13:28:03,676 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.STEP_FORWARD.
2021-04-26 13:28:03,676 | DEBUG | arenas.step_forward:108 | Champion Krowa1233ControllerKrowka entered tile Coords(x=61, y=72).
2021-04-26 13:28:03,847 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.TURN_LEFT.
2021-04-26 13:28:03,848 | DEBUG | characters.turn_left:68 | Champion IHaveNoIdeaWhatImDoingController is now facing Facing.DOWN.
2021-04-26 13:28:03,894 | DEBUG | games._environment_action:75 | Starting episode 6.
2021-04-26 13:28:03,954 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.ATTACK.
